Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 5086,https://www.congress.gov/bill/116th-congress/senate-bill/5086,116th Congress (2019-2020),"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5076,https://www.congress.gov/bill/116th-congress/senate-bill/5076,116th Congress (2019-2020),"Blunt, Roy [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 5036,https://www.congress.gov/bill/116th-congress/senate-bill/5036,116th Congress (2019-2020),"Graham, Lindsey [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4996,https://www.congress.gov/bill/116th-congress/senate-bill/4996,116th Congress (2019-2020),"Graham, Lindsey [Sen.-R-SC]",5,"Coons, Christopher A. [Sen.-D-DE]","Rubio, Marco [Sen.-R-FL]","Cardin, Benjamin L. [Sen.-D-MD]","Blackburn, Marsha [Sen.-R-TN]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4971,https://www.congress.gov/bill/116th-congress/senate-bill/4971,116th Congress (2019-2020),"Klobuchar, Amy [Sen.-D-MN]",3,"Hoeven, John [Sen.-R-ND]","Cramer, Kevin [Sen.-R-ND]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4902,https://www.congress.gov/bill/116th-congress/senate-bill/4902,116th Congress (2019-2020),"Lee, Mike [Sen.-R-UT]",2,"Romney, Mitt [Sen.-R-UT]","McConnell, Mitch [Sen.-R-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4857,https://www.congress.gov/bill/116th-congress/senate-bill/4857,116th Congress (2019-2020),"Portman, Rob [Sen.-R-OH]",1,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4762,https://www.congress.gov/bill/116th-congress/senate-bill/4762,116th Congress (2019-2020),"Burr, Richard [Sen.-R-NC]",3,"Warner, Mark R. [Sen.-D-VA]","Klobuchar, Amy [Sen.-D-MN]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4684,https://www.congress.gov/bill/116th-congress/senate-bill/4684,116th Congress (2019-2020),"Enzi, Michael B. [Sen.-R-WY]",2,"Barrasso, John [Sen.-R-WY]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4612,https://www.congress.gov/bill/116th-congress/senate-bill/4612,116th Congress (2019-2020),"Feinstein, Dianne [Sen.-D-CA]",4,"Grassley, Chuck [Sen.-R-IA]","Tester, Jon [Sen.-D-MT]","Perdue, David [Sen.-R-GA]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
