bioguideId,name,terms,years_house,years_senate
M001190,"Mullin, Markwayne","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2023}]}",11,1
W000800,"Welch, Peter","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2023}]}",17,1
F000479,"Fetterman, John","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
S001227,"Schmitt, Eric","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
V000137,"Vance, J. D.","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
L000571,"Lummis, Cynthia M.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2021}]}",9,3
T000278,"Tuberville, Tommy","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
W000790,"Warnock, Raphael G.","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
B001319,"Britt, Katie Boyd","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}",0,1
O000174,"Ossoff, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}",0,3
C001098,"Cruz, Ted","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
B001305,"Budd, Ted","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2023}]}",7,1
W000817,"Warren, Elizabeth","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",0,11
W000802,"Whitehouse, Sheldon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
Y000064,"Young, Todd","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2017}]}",7,7
W000779,"Wyden, Ron","{'item': [{'chamber': 'House of Representatives', 'endYear': 1996, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1996}]}",16,28
W000437,"Wicker, Roger F.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2007}]}",13,17
T000476,"Tillis, Thomas","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
W000805,"Warner, Mark R.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
T000250,"Thune, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2005}]}",7,19
V000128,"Van Hollen, Chris","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2017}]}",15,7
S001203,"Smith, Tina","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}",0,6
S001198,"Sullivan, Dan","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",0,9
S001191,"Sinema, Kyrsten","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}",7,5
T000464,"Tester, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",0,17
S001184,"Scott, Tim","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2013}]}",3,11
S001181,"Shaheen, Jeanne","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",0,15
S000770,"Stabenow, Debbie","{'item': [{'chamber': 'House of Representatives', 'endYear': 2001, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2001}]}",5,23
S001217,"Scott, Rick","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}",0,5
S001194,"Schatz, Brian","{'item': [{'chamber': 'Senate', 'startYear': 2012}]}",0,12
