bioguideId,name,terms
M001190,"Mullin, Markwayne","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2023}]}"
W000253,"Weicker, Lowell P., Jr.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1971, 'startYear': 1969}, {'chamber': 'Senate', 'endYear': 1989, 'startYear': 1973}]}"
E000071,"Ellzey, Jake","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
V000134,"Van Duyne, Beth","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
S001159,"Strickland, Marilyn","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
P000048,"Pfluger, August","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
O000086,"Owens, Burgess","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M001213,"Moore, Blake D.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M000194,"Mace, Nancy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
J000304,"Jackson, Ronny","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000595,"Good, Bob","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000594,"Gonzales, Tony","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
F000246,"Fallon, Pat","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
T000165,"Tiffany, Thomas P.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2020}]}"
S001216,"Schrier, Kim","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
W000825,"Wexton, Jennifer","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
S001209,"Spanberger, Abigail Davis","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
A000376,"Allred, Colin Z.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
G000587,"Garcia, Sylvia R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
R000614,"Roy, Chip","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
E000299,"Escobar, Veronica","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
F000468,"Fletcher, Lizzie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
C001120,"Crenshaw, Dan","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
R000612,"Rose, John W.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
R000610,"Reschenthaler, Guy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
C001115,"Cloud, Michael","{'item': [{'chamber': 'House of Representatives', 'startYear': 2018}]}"
C001114,"Curtis, John R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
G000579,"Gallagher, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
G000576,"Grothman, Glenn","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
P000610,"Plaskett, Stacey E.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
P000607,"Pocan, Mark","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
W000816,"Williams, Roger","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
F000459,"Fleischmann, Charles J. ""Chuck""","{'item': [{'chamber': 'House of Representatives', 'startYear': 2011}]}"
C001068,"Cohen, Steve","{'item': [{'chamber': 'House of Representatives', 'startYear': 2007}]}"
C001078,"Connolly, Gerald E.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2009}]}"
M001159,"McMorris Rodgers, Cathy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2005}]}"
M001157,"McCaul, Michael T.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2005}]}"
J000032,"Jackson Lee, Sheila","{'item': [{'chamber': 'House of Representatives', 'startYear': 1995}]}"
R000579,"Ryan, Patrick","{'item': [{'chamber': 'House of Representatives', 'startYear': 2022}]}"
F000474,"Flood, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2022}]}"
C001126,"Carey, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
B001313,"Brown, Shontel M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
T000486,"Torres, Ritchie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
R000305,"Ross, Deborah K.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
R000103,"Rosendale Sr., Matthew M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M001135,"Manning, Kathy E.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M000317,"Malliotakis, Nicole","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
L000273,"Leger Fernandez, Teresa","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000597,"Garbarino, Andrew R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
B000740,"Bice, Stephanie I.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
B000668,"Bentz, Cliff","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
B001311,"Bishop, Dan","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
M001210,"Murphy, Gregory","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
M001204,"Meuser, Daniel","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
H001085,"Houlahan, Chrissy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
O000172,"Ocasio-Cortez, Alexandria","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
S001207,"Sherrill, Mikie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
P000614,"Pappas, Chris","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
