bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
C001098,"Cruz, Ted","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",Texas,Republican,1970,773.0,https://api.congress.gov/v3/member/C001098/sponsored-legislation,1579,https://api.congress.gov/v3/member/C001098/cosponsored-legislation,0,11
W000817,"Warren, Elizabeth","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",Massachusetts,Democratic,1949,569.0,https://api.congress.gov/v3/member/W000817/sponsored-legislation,3457,https://api.congress.gov/v3/member/W000817/cosponsored-legislation,0,11
W000802,"Whitehouse, Sheldon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",Rhode Island,Democratic,1955,564.0,https://api.congress.gov/v3/member/W000802/sponsored-legislation,4062,https://api.congress.gov/v3/member/W000802/cosponsored-legislation,0,17
Y000064,"Young, Todd","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2017}]}",Indiana,Republican,1972,320.0,https://api.congress.gov/v3/member/Y000064/sponsored-legislation,1669,https://api.congress.gov/v3/member/Y000064/cosponsored-legislation,7,7
W000779,"Wyden, Ron","{'item': [{'chamber': 'House of Representatives', 'endYear': 1996, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1996}]}",Oregon,Democratic,1949,1690.0,https://api.congress.gov/v3/member/W000779/sponsored-legislation,7596,https://api.congress.gov/v3/member/W000779/cosponsored-legislation,16,28
W000437,"Wicker, Roger F.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2007}]}",Mississippi,Republican,1951,673.0,https://api.congress.gov/v3/member/W000437/sponsored-legislation,3982,https://api.congress.gov/v3/member/W000437/cosponsored-legislation,13,17
T000476,"Tillis, Thomas","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",North Carolina,Republican,1960,559.0,https://api.congress.gov/v3/member/T000476/sponsored-legislation,1893,https://api.congress.gov/v3/member/T000476/cosponsored-legislation,0,9
W000805,"Warner, Mark R.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",Virginia,Democratic,1954,560.0,https://api.congress.gov/v3/member/W000805/sponsored-legislation,1969,https://api.congress.gov/v3/member/W000805/cosponsored-legislation,0,15
T000250,"Thune, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2005}]}",South Dakota,Republican,1961,910.0,https://api.congress.gov/v3/member/T000250/sponsored-legislation,2584,https://api.congress.gov/v3/member/T000250/cosponsored-legislation,7,19
V000128,"Van Hollen, Chris","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2017}]}",Maryland,Democratic,1959,402.0,https://api.congress.gov/v3/member/V000128/sponsored-legislation,5735,https://api.congress.gov/v3/member/V000128/cosponsored-legislation,15,7
S001203,"Smith, Tina","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}",Minnesota,Democratic,1958,226.0,https://api.congress.gov/v3/member/S001203/sponsored-legislation,1974,https://api.congress.gov/v3/member/S001203/cosponsored-legislation,0,6
S001198,"Sullivan, Dan","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}",Alaska,Republican,1964,380.0,https://api.congress.gov/v3/member/S001198/sponsored-legislation,1284,https://api.congress.gov/v3/member/S001198/cosponsored-legislation,0,9
S001191,"Sinema, Kyrsten","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}",Arizona,Independent,1976,152.0,https://api.congress.gov/v3/member/S001191/sponsored-legislation,2197,https://api.congress.gov/v3/member/S001191/cosponsored-legislation,7,5
T000464,"Tester, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",Montana,Democratic,1956,742.0,https://api.congress.gov/v3/member/T000464/sponsored-legislation,2933,https://api.congress.gov/v3/member/T000464/cosponsored-legislation,0,17
S001184,"Scott, Tim","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2013}]}",South Carolina,Republican,1965,327.0,https://api.congress.gov/v3/member/S001184/sponsored-legislation,1569,https://api.congress.gov/v3/member/S001184/cosponsored-legislation,3,11
